Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Guam,US,2021-08-11 04:31:15,13.4443,144.7937,8769,143,,,66.0,5339.495460606836,180360.0,,1.6307446687193523,316.0,GUM,109822.2603803226,,271.0,2.0
Hawaii,US,2021-08-11 04:31:15,21.0943,-157.4983,47376,543,,,15.0,3346.0651810333143,1914090.0,,1.1461499493414389,84000015.0,USA,135188.06784794107,,8396.0,22.0
Idaho,US,2021-08-11 04:31:15,44.2405,-114.4788,205787,2226,,,16.0,11515.361780349343,839201.0,,1.0817009820834165,84000016.0,USA,46959.73565594984,,8905.0,59.0
Illinois,US,2021-08-11 04:31:15,40.3495,-88.9861,1447161,25975,,,17.0,11420.308099364724,27351586.0,,1.794893588204768,84000017.0,USA,215845.7415078701,,47122.0,208.0
Indiana,US,2021-08-11 04:31:15,39.8494,-86.2583,788468,14091,,,18.0,11711.859046771948,11429224.0,,1.78713657371003,84000018.0,USA,169769.04643179313,,28368.0,141.0
Iowa,US,2021-08-11 04:31:15,42.0115,-93.2105,382401,6193,,,19.0,12120.206524736377,1529873.0,,1.6195041330958861,84000019.0,USA,48489.352058749886,,7774.0,44.0
Kansas,US,2021-08-11 04:31:15,38.5266,-96.7265,343203,5327,,,20.0,11780.501518202294,1537456.0,,1.5521426094760244,84000020.0,USA,52773.43945760738,,21128.0,139.0
Kentucky,US,2021-08-11 04:31:15,37.6681,-84.6701,502712,7394,,,21.0,11252.2111622762,5782418.0,,1.4708222600614267,84000021.0,USA,129427.959476891,,32655.0,122.0
Louisiana,US,2021-08-11 04:31:15,31.1695,-91.8678,596534,11353,,,22.0,12832.016217539429,7768059.0,,1.903160591014092,84000022.0,USA,167098.37002887198,,100495.0,471.0
Maine,US,2021-08-11 04:31:15,44.6939,-69.3819,71666,901,,,23.0,5331.450693789373,2439645.0,,1.2572209974046271,84000023.0,USA,181492.5770637369,,2085.0,39.0
Maryland,US,2021-08-11 04:31:15,39.0639,-76.8021,475184,9869,,,24.0,7859.893345330881,11459000.0,,2.0768796929189537,84000024.0,USA,189540.29985047173,,11290.0,100.0
Massachusetts,US,2021-08-11 04:31:15,42.2302,-71.5301,730381,18112,,,25.0,10596.745478384268,24992991.0,,2.4798016377753527,84000025.0,USA,362611.24587105727,,17885.0,86.0
Michigan,US,2021-08-11 04:31:15,43.3266,-84.5361,1021681,21228,,,26.0,10230.255624967895,14774262.0,,2.077752253394161,84000026.0,USA,147937.053669638,,19936.0,169.0
Minnesota,US,2021-08-11 04:31:15,45.6945,-93.9002,620591,7798,,,27.0,11004.104523132008,9831616.0,,1.2565441651586955,84000027.0,USA,174330.80740019915,,12422.0,74.0
Mississippi,US,2021-08-11 04:31:15,32.7416,-89.6787,368549,7685,,,28.0,12383.41897532684,2111300.0,,2.085204409725708,84000028.0,USA,70940.66862915801,,40208.0,208.0
Missouri,US,2021-08-11 04:31:15,38.4561,-92.2884,712083,10413,,,29.0,11602.303114594582,6218476.0,,1.4623295318101963,84000029.0,USA,101320.55316982944,,69750.0,470.0
Montana,US,2021-08-11 04:31:15,46.9219,-110.4544,118754,1726,,,30.0,11111.194279822375,1540845.0,,1.4534247267460465,84000030.0,USA,144168.8545235774,,3945.0,49.0
Nebraska,US,2021-08-11 04:31:15,41.1254,-98.2681,231916,2287,,,31.0,11988.990947101129,3191163.0,,0.9861329101916212,84000031.0,USA,164968.4554654447,,5898.0,28.0
Nevada,US,2021-08-11 04:31:15,38.3135,-117.0554,367709,6080,,,32.0,11937.999244194123,3810079.0,,1.653481421450114,84000032.0,USA,123697.5984333261,,26839.0,310.0
New Hampshire,US,2021-08-11 04:31:15,43.4525,-71.5639,102205,1391,,,33.0,7516.670821961431,2160142.0,,1.360990166821584,84000033.0,USA,158867.72998085624,,2347.0,14.0
New Jersey,US,2021-08-11 04:31:15,40.2989,-74.521,1051712,26659,,,34.0,11840.683435053745,14925279.0,,2.5348194182437767,84000034.0,USA,168036.0248992647,,23797.0,141.0
New Mexico,US,2021-08-11 04:31:15,34.8405,-106.2485,215781,4430,,,35.0,10290.824859824048,3882819.0,,2.053007447365616,84000035.0,USA,185175.75825210352,,8547.0,67.0
New York,US,2021-08-11 04:31:15,42.1657,-74.9481,2180696,53760,,,36.0,11209.752291624141,62263024.0,,2.4651762556541583,84000036.0,USA,320059.77723050286,,57605.0,222.0
North Carolina,US,2021-08-11 04:31:15,35.6301,-79.8064,1089923,13768,,,37.0,10392.012497230191,13210309.0,,1.2632085018849954,84000037.0,USA,125955.4080611864,,67640.0,260.0
North Dakota,US,2021-08-11 04:31:15,47.5289,-99.78399999999999,112560,1573,,,38.0,14770.451748020503,1617391.0,,1.3974769012082444,84000038.0,USA,212238.7679742593,,1478.0,10.0
Northern Mariana Islands,US,2021-08-11 04:31:15,15.0979,145.6739,183,2,,,69.0,331.8584070796461,17542.0,,1.092896174863388,580.0,MNP,31811.25779776585,,0.0,0.0
Ohio,US,2021-08-11 04:31:15,40.3888,-82.7649,1145925,20614,,,39.0,9803.363817573638,14271657.0,,1.7959290529484917,84000039.0,USA,122093.71979023193,,29108.0,43.0
Oklahoma,US,2021-08-11 04:31:15,35.5653,-96.9289,501353,7531,,,40.0,12670.120655420522,4249962.0,,1.5021352220890272,84000040.0,USA,107404.42626443306,,38418.0,125.0
Oregon,US,2021-08-11 04:31:15,44.571999999999996,-122.0709,232436,2912,,,41.0,5510.917347383205,5849404.0,,1.2528179800030976,84000041.0,USA,138685.84029777106,,19374.0,106.0
Pennsylvania,US,2021-08-11 04:31:15,40.5908,-77.2098,1244753,27914,,,42.0,9723.121930506268,15270340.0,,2.2425332576021098,84000042.0,USA,119280.99610146516,,23838.0,153.0
Puerto Rico,US,2021-08-11 04:31:15,18.2208,-66.5901,153175,2626,,,72.0,4796.1702029061025,415664.0,,1.7143789782928025,630.0,PRI,13015.147975980166,,11852.0,65.0
Rhode Island,US,2021-08-11 04:31:15,41.6809,-71.5118,156539,2744,,,44.0,14776.738052467475,4655135.0,,1.7529178032311437,84000044.0,USA,439428.5800591111,,3006.0,12.0
South Carolina,US,2021-08-11 04:31:15,33.8569,-80.945,645859,9992,,,45.0,12544.083823649944,7081996.0,,1.5470869028688925,84000045.0,USA,137548.83258227198,,43594.0,125.0
South Dakota,US,2021-08-11 04:31:15,44.2998,-99.4388,125599,2052,,,46.0,14197.447830180894,844197.0,,1.6337709695140883,84000046.0,USA,95426.26028786233,,947.0,13.0
Tennessee,US,2021-08-11 04:31:15,35.7478,-86.6923,927010,12876,,,47.0,13574.262421780439,8572273.0,,1.3889817801318216,84000047.0,USA,125524.30206054205,,52549.0,229.0
Texas,US,2021-08-11 04:31:15,31.0545,-97.5635,3272462,53831,,,48.0,11285.954718878867,27702752.0,,1.6449694450233494,84000048.0,USA,95540.30105172524,,230011.0,1066.0
Utah,US,2021-08-11 04:31:15,40.15,-111.8624,441131,2511,,,49.0,13759.724862272058,3767894.0,,0.5692186674706606,84000049.0,USA,117527.86530578381,,20283.0,104.0
Vermont,US,2021-08-11 04:31:15,44.0459,-72.7107,25663,263,,,50.0,4112.732756506925,1800451.0,,1.0248217277792933,84000050.0,USA,288538.90052549005,,1082.0,4.0
Virgin Islands,US,2021-08-11 04:31:15,18.3358,-64.8963,4960,40,,,78.0,4623.932580079801,151851.0,,0.8064516129032258,850.0,VIR,141562.25528582616,,927.0,8.0
Virginia,US,2021-08-11 04:31:15,37.7693,-78.17,711078,11578,,,51.0,8330.811518315406,8121800.0,,1.6282320645555055,84000051.0,USA,95152.97195167627,,26463.0,121.0
Washington,US,2021-08-11 04:31:15,47.4009,-121.4905,495357,6187,,,53.0,6505.107819637125,8993822.0,,1.2489981972597541,84000053.0,USA,118108.3174773434,,38629.0,177.0
West Virginia,US,2021-08-11 04:31:15,38.4912,-80.9545,170656,2972,,,54.0,9522.433148620063,3213841.0,,1.7415150946934184,84000054.0,USA,179329.09521372968,,5574.0,62.0
Wisconsin,US,2021-08-11 04:31:15,44.2685,-89.6165,699551,8311,,,55.0,12014.75190616158,9459706.0,,1.1880477620645242,84000055.0,USA,162469.95672256654,,18837.0,121.0
Wyoming,US,2021-08-11 04:31:15,42.756,-107.3025,67326,793,,,56.0,11632.8212606629,834725.0,,1.1778510530849895,84000056.0,USA,144226.69885047144,,3888.0,35.0
