Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Massachusetts,US,2021-08-10 04:30:48,42.2302,-71.5301,729047,18098,,,25.0,10577.391116115583,24892730.0,,2.4824188289643883,84000025.0,USA,361156.60740372544,,15565,84
Michigan,US,2021-08-10 04:30:48,43.3266,-84.5361,1021681,21228,,,26.0,10230.255624967895,14724982.0,,2.077752253394161,84000026.0,USA,147443.60513022266,,16856,162
Minnesota,US,2021-08-10 04:30:48,45.6945,-93.9002,618906,7791,,,27.0,10974.22668713136,9811586.0,,1.2588341363631956,84000027.0,USA,173975.64238233984,,11491,72
Mississippi,US,2021-08-10 04:30:48,32.7416,-89.6787,365061,7649,,,28.0,12266.220542049476,2076870.0,,2.09526627056848,84000028.0,USA,69783.80450709963,,34092,182
Missouri,US,2021-08-10 04:30:48,38.4561,-92.2884,709631,10275,,,29.0,11562.351525753133,6209504.0,,1.4479356172433282,84000029.0,USA,101174.36815552053,,68744,471
Montana,US,2021-08-10 04:30:48,46.9219,-110.4544,118270,1723,,,30.0,11065.908916538328,1534562.0,,1.4568360530988416,84000030.0,USA,143580.9868840863,,3642,49
Nebraska,US,2021-08-10 04:30:48,41.1254,-98.2681,231069,2290,,,31.0,11945.204941253345,3178859.0,,0.9910459646252848,84000031.0,USA,164332.39523409744,,5898,28
Nevada,US,2021-08-10 04:30:48,38.3135,-117.0554,366584,6040,,,32.0,11901.475120091322,3784808.0,,1.6476441961460402,84000032.0,USA,122877.15297536875,,25502,285
New Hampshire,US,2021-08-10 04:30:48,43.4525,-71.5639,102117,1389,,,33.0,7510.198858433888,2152334.0,,1.3602044713416963,84000033.0,USA,158293.4903078669,,1954,14
New Jersey,US,2021-08-10 04:30:48,40.2989,-74.521,1050083,26650,,,34.0,11822.343363517331,14883093.0,,2.5378946235678512,84000034.0,USA,167561.0744647435,,23151,145
New Mexico,US,2021-08-10 04:30:48,34.8405,-106.2485,215098,4425,,,35.0,10258.251865078173,3862062.0,,2.057201833582832,84000035.0,USA,184185.8348964079,,7541,71
New York,US,2021-08-10 04:30:48,42.1657,-74.9481,2178724,53750,,,36.0,11199.615330067334,62154059.0,,2.4670403410436568,84000036.0,USA,319499.6484191249,,56172,218
North Carolina,US,2021-08-10 04:30:48,35.6301,-79.8064,1086938,13759,,,37.0,10363.551626779496,13107087.0,,1.265849570076674,84000037.0,USA,124971.22448676039,,53702,253
North Dakota,US,2021-08-10 04:30:48,47.5289,-99.78399999999999,112393,1573,,,38.0,14741.057814193597,1617391.0,,1.4002634952286002,84000038.0,USA,212238.7679742593,,1479,10
Northern Mariana Islands,US,2021-08-10 04:30:48,15.0979,145.6739,183,2,,,69.0,331.8584070796461,17542.0,,1.092896174863388,580.0,MNP,31811.25779776585,,0,0
Ohio,US,2021-08-10 04:30:48,40.3888,-82.7649,1143599,20614,,,39.0,9783.464937420329,14251331.0,,1.7974832087121446,84000039.0,USA,121919.8312958226,,28063,45
Oklahoma,US,2021-08-10 04:30:48,35.5653,-96.9289,500311,7531,,,40.0,12643.787381813008,4249962.0,,1.5052637259624513,84000040.0,USA,107404.42626443306,,33301,125
Oregon,US,2021-08-10 04:30:48,44.571999999999996,-122.0709,230103,2903,,,41.0,5455.60332472129,5787925.0,,1.2616089316523469,84000041.0,USA,137228.21029381396,,16669,97
Pennsylvania,US,2021-08-10 04:30:48,40.5908,-77.2098,1242724,27903,,,42.0,9707.272830807777,15199867.0,,2.2453094975231838,84000042.0,USA,118730.51132913801,,21365,154
Puerto Rico,US,2021-08-10 04:30:48,18.2208,-66.5901,152796,2620,,,72.0,4784.303067231864,415664.0,,1.7147045734181523,630.0,PRI,13015.147975980166,,11496,56
Rhode Island,US,2021-08-10 04:30:48,41.6809,-71.5118,155825,2743,,,44.0,14709.338931676735,4655135.0,,1.7603080378629874,84000044.0,USA,439428.5800591111,,3096,13
South Carolina,US,2021-08-10 04:30:48,33.8569,-80.945,643621,9981,,,45.0,12500.61665883947,7013754.0,,1.5507573556487435,84000045.0,USA,136223.4142350886,,35392,104
South Dakota,US,2021-08-10 04:30:48,44.2998,-99.4388,125599,2052,,,46.0,14197.447830180894,844197.0,,1.6337709695140883,84000046.0,USA,95426.26028786233,,947,13
Tennessee,US,2021-08-10 04:30:48,35.7478,-86.6923,923520,12837,,,47.0,13523.158144747813,8525394.0,,1.3900077962577964,84000047.0,USA,124837.85008260152,,44358,224
Texas,US,2021-08-10 04:30:48,31.0545,-97.5635,3250897,53727,,,48.0,11211.582086434966,27621532.0,,1.6526823212178057,84000048.0,USA,95260.19230110652,,220695,1059
Utah,US,2021-08-10 04:30:48,40.15,-111.8624,440497,2503,,,49.0,13739.949182116548,3752461.0,,0.5682218040077458,84000049.0,USA,117046.48033442734,,19503,101
Vermont,US,2021-08-10 04:30:48,44.0459,-72.7107,25571,262,,,50.0,4097.9889068557295,1792813.0,,1.0245981776230886,84000050.0,USA,287314.84048597014,,863,2
Virgin Islands,US,2021-08-10 04:30:48,18.3358,-64.8963,4960,40,,,78.0,4623.932580079801,150985.0,,0.8064516129032258,850.0,VIR,140754.93157325574,,955,8
Virginia,US,2021-08-10 04:30:48,37.7693,-78.17,709319,11571,,,51.0,8310.20351545114,8074800.0,,1.6312829629546086,84000051.0,USA,94602.33173870268,,21991,108
Washington,US,2021-08-10 04:30:48,47.4009,-121.4905,495338,6177,,,53.0,6504.858308580305,8932710.0,,1.2470272823809196,84000053.0,USA,117305.78486132373,,33537,171
West Virginia,US,2021-08-10 04:30:48,38.4912,-80.9545,170199,2972,,,54.0,9496.933008285592,3195707.0,,1.7461912232151775,84000054.0,USA,178317.2362534993,,4697,57
Wisconsin,US,2021-08-10 04:30:48,44.2685,-89.6165,697781,8306,,,55.0,11984.352248561341,9417453.0,,1.1903448216560784,84000055.0,USA,161744.26365331066,,16641,118
Wyoming,US,2021-08-10 04:30:48,42.756,-107.3025,67026,786,,,56.0,11580.986213605318,830361.0,,1.1726792587950945,84000056.0,USA,143472.67169927378,,3487,35
